98.008;-25.44;1.4
82.544;-30.24;1.4
64.2;-35.04;1.4
42.976;-39.84;1.4
18.872;-44.64;1.4
-8.112;-49.44;1.4
39.56;13.2;1.6
54.584;34.36;1.6
67.528;29.16;1.6
78.392;23.96;1.6
87.176;18.76;1.6
93.88;13.56;1.6
98.504;8.36;1.6
101.048;3.16;1.6
101.512;-2.04;1.6
99.896;-7.24;1.6
96.2;-12.44;1.6
90.424;-17.64;1.6
82.568;-22.84;1.6
72.632;-28.04;1.6
60.616;-33.24;1.6
46.52;-38.44;1.6
30.344;-43.64;1.6
12.088;-48.84;1.6
-8.248;-54.04;1.6
42.24;13.6;1.8
49.288;36.64;1.8
55.216;31.04;1.8
60.024;25.44;1.8
63.712;19.84;1.8
66.28;14.24;1.8
67.728;8.64;1.8
68.056;3.04;1.8
67.264;-2.56;1.8
65.352;-8.16;1.8
62.32;-13.76;1.8
58.168;-19.36;1.8
52.896;-24.96;1.8
46.504;-30.56;1.8
38.992;-36.16;1.8
30.36;-41.76;1.8
20.608;-47.36;1.8
9.736;-52.96;1.8
-2.256;-58.56;1.8
45;14;2
43;39;2
41;33;2
39;27;2
37;21;2
35;15;2
33;9;2
31;3;2
29;-3;2
27;-9;2
25;-15;2
23;-21;2
21;-27;2
19;-33;2
17;-39;2
15;-45;2
13;-51;2
11;-57;2
9;-63;2
7;-69;2
5;-75;2
3;-81;2
1;-87;2
-1;-93;2
